,Model A,Model B,Model C
134,double_integral_absolute_humidity_2m:gm3_dintegral,double_derivative_msl_pressure:hPa_dd,double_integral_effective_cloud_cover:p_dintegral
135,squared_wind_speed_10m:ms_2,double_integral_pressure_100m:hPa_dintegral,squared_sun_azimuth:d_2
136,squared_visibility:m_2,integral_pressure_100m:hPa_integral,integral_fresh_snow_12h:cm_integral
137,integral_diffuse_rad:W_integral,integral_precip_5min:mm_integral,integral_visibility:m_integral
138,double_derivative_effective_cloud_cover:p_dd,double_derivative_pressure_50m:hPa_dd,double_integral_clear_sky_energy_1h:J_dintegral
139,integral_wind_speed_10m:ms_integral,double_integral_dew_or_rime:idx_dintegral,derivative_sun_azimuth:d_d
140,double_derivative_total_cloud_cover:p_dd,double_derivative_sun_azimuth:d_dd,double_integral_precip_type_5min:idx_dintegral
141,integral_dew_or_rime:idx_integral,squared_snow_water:kgm2_2,integral_rain_water:kgm2_integral
142,derivative_wind_speed_u_10m:ms_d,double_integral_clear_sky_energy_1h:J_dintegral,double_derivative_precip_5min:mm_dd
143,integral_direct_rad_1h:J_integral,double_integral_dew_point_2m:K_dintegral,double_derivative_t_1000hPa:K_dd
144,derivative_effective_cloud_cover:p_d,double_integral_visibility:m_dintegral,double_derivative_pressure_100m:hPa_dd
145,double_integral_sun_azimuth:d_dintegral,double_integral_sun_azimuth:d_dintegral,derivative_air_density_2m:kgm3_d
146,double_integral_prob_rime:p_dintegral,integral_dew_point_2m:K_integral,double_integral_precip_5min:mm_dintegral
147,double_derivative_wind_speed_u_10m:ms_dd,integral_clear_sky_rad:W_integral,derivative_total_cloud_cover:p_d
148,integral_super_cooled_liquid_water:kgm2_integral,double_integral_fresh_snow_12h:cm_dintegral,double_derivative_sfc_pressure:hPa_dd
149,double_integral_cloud_base_agl:m_dintegral,derivative_precip_5min:mm_d,double_integral_is_day:idx_dintegral
150,squared_pressure_50m:hPa_2,double_derivative_wind_speed_u_10m:ms_dd,double_integral_air_density_2m:kgm3_dintegral
151,double_derivative_sfc_pressure:hPa_dd,integral_effective_cloud_cover:p_integral,integral_is_day:idx_integral
152,visibility:m,integral_sfc_pressure:hPa_integral,double_integral_elevation:m_dintegral
153,double_derivative_precip_5min:mm_dd,squared_super_cooled_liquid_water:kgm2_2,derivative_wind_speed_v_10m:ms_d
154,double_integral_diffuse_rad_1h:J_dintegral,derivative_wind_speed_v_10m:ms_d,squared_precip_5min:mm_2
155,double_derivative_msl_pressure:hPa_dd,double_derivative_sfc_pressure:hPa_dd,double_integral_wind_speed_w_1000hPa:ms_dintegral
156,derivative_cloud_base_agl:m_d,derivative_wind_speed_u_10m:ms_d,integral_t_1000hPa:K_integral
157,derivative_fresh_snow_24h:cm_d,double_derivative_dew_point_2m:K_dd,derivative_fresh_snow_24h:cm_d
158,integral_fresh_snow_24h:cm_integral,double_integral_prob_rime:p_dintegral,double_integral_fresh_snow_6h:cm_dintegral
159,double_integral_effective_cloud_cover:p_dintegral,squared_precip_5min:mm_2,double_integral_clear_sky_rad:W_dintegral
160,double_derivative_rain_water:kgm2_dd,integral_clear_sky_energy_1h:J_integral,integral_diffuse_rad:W_integral
161,double_integral_ceiling_height_agl:m_dintegral,double_derivative_pressure_100m:hPa_dd,double_derivative_effective_cloud_cover:p_dd
162,derivative_dew_point_2m:K_d,double_derivative_air_density_2m:kgm3_dd,double_integral_direct_rad_1h:J_dintegral
163,squared_fresh_snow_12h:cm_2,double_integral_snow_depth:cm_dintegral,double_derivative_sun_elevation:d_dd
164,double_derivative_pressure_100m:hPa_dd,double_integral_direct_rad:W_dintegral,derivative_wind_speed_u_10m:ms_d
165,precip_type_5min:idx,derivative_rain_water:kgm2_d,integral_relative_humidity_1000hPa:p_integral
166,squared_wind_speed_u_10m:ms_2,fresh_snow_24h:cm,double_derivative_cloud_base_agl:m_dd
167,double_derivative_wind_speed_10m:ms_dd,snow_water:kgm2,double_integral_pressure_50m:hPa_dintegral
168,double_integral_fresh_snow_1h:cm_dintegral,derivative_pressure_50m:hPa_d,double_derivative_relative_humidity_1000hPa:p_dd
169,double_derivative_dew_point_2m:K_dd,integral_fresh_snow_3h:cm_integral,squared_rain_water:kgm2_2
170,integral_msl_pressure:hPa_integral,squared_snow_depth:cm_2,double_integral_msl_pressure:hPa_dintegral
171,squared_snow_melt_10min:mm_2,squared_sun_azimuth:d_2,integral_snow_density:kgm3_integral
172,fresh_snow_12h:cm,double_derivative_visibility:m_dd,double_integral_sun_azimuth:d_dintegral
173,derivative_precip_5min:mm_d,derivative_t_1000hPa:K_d,double_derivative_dew_point_2m:K_dd
174,integral_t_1000hPa:K_integral,hour:hour,double_integral_fresh_snow_12h:cm_dintegral
175,double_derivative_relative_humidity_1000hPa:p_dd,rain_water:kgm2,double_derivative_fresh_snow_12h:cm_dd
176,derivative_pressure_100m:hPa_d,integral_visibility:m_integral,double_integral_direct_rad:W_dintegral
177,squared_super_cooled_liquid_water:kgm2_2,double_derivative_fresh_snow_12h:cm_dd,squared_fresh_snow_24h:cm_2
178,integral_diffuse_rad_1h:J_integral,double_derivative_snow_water:kgm2_dd,derivative_snow_water:kgm2_d
179,double_derivative_fresh_snow_6h:cm_dd,snow_depth:cm,double_derivative_wind_speed_10m:ms_dd
180,derivative_diffuse_rad:W_d,derivative_fresh_snow_24h:cm_d,double_derivative_absolute_humidity_2m:gm3_dd
181,derivative_snow_water:kgm2_d,derivative_relative_humidity_1000hPa:p_d,snow_water:kgm2
182,derivative_fresh_snow_12h:cm_d,derivative_is_in_shadow:idx_d,integral_dew_point_2m:K_integral
183,double_derivative_wind_speed_v_10m:ms_dd,double_derivative_precip_5min:mm_dd,derivative_precip_5min:mm_d
184,integral_fresh_snow_3h:cm_integral,double_derivative_rain_water:kgm2_dd,derivative_t_1000hPa:K_d
185,derivative_relative_humidity_1000hPa:p_d,double_derivative_t_1000hPa:K_dd,derivative_relative_humidity_1000hPa:p_d
186,double_integral_snow_density:kgm3_dintegral,integral_prob_rime:p_integral,derivative_fresh_snow_12h:cm_d
187,pressure_50m:hPa,integral_snow_depth:cm_integral,snow_melt_10min:mm
188,derivative_fresh_snow_6h:cm_d,integral_diffuse_rad:W_integral,derivative_pressure_50m:hPa_d
189,integral_prob_rime:p_integral,squared_is_in_shadow:idx_2,squared_air_density_2m:kgm3_2
190,double_integral_diffuse_rad:W_dintegral,double_derivative_fresh_snow_24h:cm_dd,derivative_sun_elevation:d_d
191,super_cooled_liquid_water:kgm2,double_derivative_is_in_shadow:idx_dd,double_derivative_snow_melt_10min:mm_dd
192,integral_is_day:idx_integral,integral_fresh_snow_1h:cm_integral,integral_prob_rime:p_integral
193,derivative_pressure_50m:hPa_d,squared_fresh_snow_24h:cm_2,integral_snow_melt_10min:mm_integral
194,squared_wind_speed_v_10m:ms_2,double_derivative_total_cloud_cover:p_dd,double_derivative_air_density_2m:kgm3_dd
195,derivative_fresh_snow_3h:cm_d,double_integral_snow_melt_10min:mm_dintegral,is_day:idx
196,double_integral_snow_depth:cm_dintegral,double_derivative_effective_cloud_cover:p_dd,squared_snow_melt_10min:mm_2
197,is_day:idx,derivative_fresh_snow_12h:cm_d,precip_type_5min:idx
198,double_derivative_absolute_humidity_2m:gm3_dd,double_integral_fresh_snow_6h:cm_dintegral,double_integral_relative_humidity_1000hPa:p_dintegral
199,double_integral_fresh_snow_6h:cm_dintegral,derivative_snow_water:kgm2_d,double_integral_diffuse_rad:W_dintegral
200,double_derivative_snow_melt_10min:mm_dd,derivative_is_day:idx_d,squared_is_day:idx_2
201,double_derivative_snow_water:kgm2_dd,double_derivative_fresh_snow_1h:cm_dd,fresh_snow_12h:cm
202,derivative_wind_speed_v_10m:ms_d,fresh_snow_1h:cm,derivative_fresh_snow_6h:cm_d
203,derivative_rain_water:kgm2_d,integral_pressure_50m:hPa_integral,double_integral_t_1000hPa:K_dintegral
204,fresh_snow_1h:cm,double_derivative_wind_speed_10m:ms_dd,integral_wind_speed_w_1000hPa:ms_integral
205,integral_fresh_snow_6h:cm_integral,dew_or_rime:idx,derivative_is_in_shadow:idx_d
206,double_derivative_prob_rime:p_dd,elevation:m,squared_fresh_snow_1h:cm_2
207,double_derivative_fresh_snow_3h:cm_dd,fresh_snow_12h:cm,derivative_snow_melt_10min:mm_d
208,squared_dew_or_rime:idx_2,fresh_snow_3h:cm,snow_depth:cm
209,double_derivative_super_cooled_liquid_water:kgm2_dd,fresh_snow_6h:cm,squared_dew_or_rime:idx_2
210,dew_or_rime:idx,is_in_shadow:idx,derivative_is_day:idx_d
211,snow_depth:cm,prob_rime:p,double_derivative_is_day:idx_dd
212,derivative_fresh_snow_1h:cm_d,snow_density:kgm3,double_integral_snow_melt_10min:mm_dintegral
213,hour:hour,snow_drift:idx,derivative_precip_type_5min:idx_d
214,double_derivative_dew_or_rime:idx_dd,snow_melt_10min:mm,dew_or_rime:idx
215,squared_prob_rime:p_2,super_cooled_liquid_water:kgm2,double_derivative_fresh_snow_6h:cm_dd
216,derivative_dew_or_rime:idx_d,wind_speed_w_1000hPa:ms,squared_prob_rime:p_2
217,integral_snow_depth:cm_integral,squared_dew_or_rime:idx_2,double_derivative_prob_rime:p_dd
218,derivative_is_in_shadow:idx_d,squared_elevation:m_2,double_derivative_rain_water:kgm2_dd
